t,q_hip,i_hip,q_knee,i_knee,q_ankle,i_ankle,q_shoulder,i_shoulder,ax,ay,az,fx,fy,fz,mx,my,mz,fx0,fy0,fz0,mx0,my0,mz0
0.2,0.039957,1.993603,0.440979,0.942657,0.436566,-0.974964,0.030777,-1.996208,0.0599,0.275569,0.243371,0.50316,2.314776,84.448318,-1.074366,-1.130212,0.037381,0.3594,1.653411,60.320227,-0.165341,0.03594,0.0
0.22,0.043943,1.992261,0.44285,0.928515,0.434603,-0.988903,0.026784,-1.997129,0.065867,0.277303,0.243598,0.553283,2.329347,84.450223,-1.076589,-1.122649,0.038019,0.395202,1.663819,60.321588,-0.166382,0.03952,0.0
0.24,0.047926,1.990791,0.444693,0.914315,0.432611,-1.002778,0.022788,-1.997922,0.071827,0.279028,0.243821,0.60335,2.343834,84.452095,-1.078799,-1.115094,0.038655,0.430964,1.674167,60.322925,-0.167417,0.043096,0.0
0.26,0.051906,1.989194,0.446507,0.900055,0.430592,-1.01659,0.018792,-1.998587,0.07778,0.280742,0.24404,0.653356,2.358237,84.453935,-1.080995,-1.107548,0.039289,0.466683,1.684455,60.324239,-0.168445,0.046668,0.0
0.28,0.055883,1.987469,0.448293,0.885738,0.428545,-1.030336,0.014794,-1.999124,0.083726,0.282447,0.244255,0.703297,2.372555,84.455742,-1.083179,-1.100011,0.039922,0.502355,1.694682,60.32553,-0.169468,0.050236,0.0
0.3,0.059856,1.985617,0.45005,0.871365,0.42647,-1.044016,0.010795,-1.999534,0.089663,0.284141,0.244466,0.753168,2.386787,84.457516,-1.085349,-1.092485,0.040553,0.537977,1.704848,60.326797,-0.170485,0.053798,0.0
0.32,0.063825,1.983638,0.451779,0.856936,0.424369,-1.05763,0.006796,-1.999815,0.095591,0.285825,0.244673,0.802964,2.400933,84.459257,-1.087506,-1.084969,0.041182,0.573546,1.714952,60.328041,-0.171495,0.057355,0.0
0.34,0.067791,1.981532,0.453478,0.842451,0.42224,-1.071176,0.002796,-1.999969,0.101509,0.287499,0.244877,0.852679,2.414994,84.460965,-1.08965,-1.077465,0.041809,0.609056,1.724995,60.329261,-0.1725,0.060906,0.0
0.36,0.071751,1.9793,0.455148,0.827913,0.420084,-1.084653,-0.001204,-1.999994,0.107418,0.289163,0.245076,0.902309,2.428967,84.462641,-1.09178,-1.069974,0.042434,0.644506,1.734976,60.330458,-0.173498,0.064451,0.0
0.38,0.075708,1.97694,0.45679,0.813322,0.417901,-1.098061,-0.005204,-1.999892,0.113315,0.290816,0.245272,0.951849,2.442852,84.464283,-1.093897,-1.062496,0.043057,0.679892,1.744894,60.331631,-0.174489,0.067989,0.0
0.4,0.079659,1.974455,0.458402,0.798679,0.415692,-1.111398,-0.009203,-1.999661,0.119202,0.292458,0.245463,1.001293,2.45665,84.465892,-1.096,-1.055031,0.043678,0.71521,1.75475,60.33278,-0.175475,0.071521,0.0
0.42,0.083605,1.971842,0.459984,0.783985,0.413456,-1.124665,-0.013202,-1.999303,0.125076,0.29409,0.245651,1.050638,2.470359,84.467469,-1.09809,-1.047582,0.044296,0.750456,1.764542,60.333906,-0.176454,0.075046,0.0
0.44,0.087546,1.969104,0.461537,0.76924,0.411193,-1.137859,-0.0172,-1.998816,0.130938,0.295712,0.245835,1.099877,2.48398,84.469012,-1.100166,-1.040147,0.044913,0.785627,1.774271,60.335009,-0.177427,0.078563,0.0
0.46,0.091482,1.966239,0.463061,0.754447,0.408904,-1.150981,-0.021197,-1.998202,0.136787,0.297323,0.246015,1.149007,2.497511,84.470523,-1.102228,-1.032729,0.045527,0.820719,1.783936,60.336088,-0.178394,0.082072,0.0
0.48,0.095411,1.963249,0.464555,0.739605,0.406589,-1.164029,-0.025193,-1.99746,0.142622,0.298923,0.24619,1.198021,2.510952,84.472,-1.104276,-1.025328,0.046139,0.855729,1.793537,60.337143,-0.179354,0.085573,0.0
0.5,0.099335,1.960133,0.46602,0.724716,0.404248,-1.177002,-0.029187,-1.99659,0.148442,0.300512,0.246362,1.246916,2.524302,84.473444,-1.10631,-1.017945,0.046749,0.890654,1.803073,60.338175,-0.180307,0.089065,0.0
0.52,0.103252,1.956892,0.467454,0.70978,0.401881,-1.1899,-0.033179,-1.995592,0.154248,0.302091,0.24653,1.295686,2.537562,84.474856,-1.10833,-1.01058,0.047357,0.92549,1.812544,60.339183,-0.181254,0.092549,0.0
0.54,0.107162,1.953525,0.468859,0.694799,0.399489,-1.202722,-0.037169,-1.994466,0.160039,0.303658,0.246694,1.344326,2.55073,84.476234,-1.110335,-1.003234,0.047962,0.960233,1.82195,60.340167,-0.182195,0.096023,0.0
0.56,0.111066,1.950033,0.470233,0.679773,0.39707,-1.215467,-0.041157,-1.993213,0.165813,0.305215,0.246855,1.392832,2.563807,84.477579,-1.112327,-0.995908,0.048564,0.99488,1.831291,60.341128,-0.183129,0.099488,0.0
0.58,0.114962,1.946417,0.471578,0.664704,0.394627,-1.228135,-0.045142,-1.991832,0.171571,0.306761,0.247011,1.441199,2.576791,84.47889,-1.114305,-0.988603,0.049164,1.029428,1.840565,60.342064,-0.184057,0.102943,0.0
0.6,0.118851,1.942676,0.472892,0.649593,0.392158,-1.240723,-0.049124,-1.990324,0.177312,0.308296,0.247163,1.489422,2.589683,84.480169,-1.116268,-0.981319,0.049762,1.063873,1.849773,60.342978,-0.184977,0.106387,0.0
0.62,0.122733,1.938811,0.474176,0.634439,0.389664,-1.253232,-0.053103,-1.988688,0.183035,0.309819,0.247311,1.537496,2.602481,84.481414,-1.118216,-0.974057,0.050357,1.098211,1.858915,60.343867,-0.185891,0.109821,0.0
0.64,0.126606,1.934821,0.47543,0.619246,0.387145,-1.265661,-0.057079,-1.986925,0.18874,0.311332,0.247455,1.585415,2.615185,84.482626,-1.120151,-0.966817,0.050949,1.13244,1.86799,60.344733,-0.186799,0.113244,0.0
0.66,0.130472,1.930708,0.476653,0.604012,0.384601,-1.278009,-0.061051,-1.985035,0.194426,0.312833,0.247596,1.633177,2.627796,84.483805,-1.12207,-0.959602,0.051539,1.166555,1.876997,60.345575,-0.1877,0.116655,0.0
0.68,0.134329,1.926471,0.477846,0.58874,0.382033,-1.290276,-0.065019,-1.983018,0.200092,0.314323,0.247732,1.680775,2.640312,84.48495,-1.123975,-0.952411,0.052125,1.200554,1.885937,60.346393,-0.188594,0.120055,0.0
0.7,0.138178,1.922111,0.479008,0.57343,0.37944,-1.302459,-0.068983,-1.980874,0.205739,0.315801,0.247865,1.728205,2.652733,84.486063,-1.125866,-0.945244,0.052709,1.234432,1.894809,60.347188,-0.189481,0.123443,0.0
0.72,0.142018,1.917628,0.480139,0.558084,0.376823,-1.31456,-0.072942,-1.978603,0.211365,0.317269,0.247993,1.775462,2.665058,84.487141,-1.127741,-0.938103,0.053291,1.268187,1.903613,60.347958,-0.190361,0.126819,0.0
0.74,0.145848,1.913022,0.48124,0.542702,0.374182,-1.326576,-0.076897,-1.976206,0.216969,0.318725,0.248118,1.822542,2.677287,84.488187,-1.129602,-0.930989,0.053869,1.301816,1.912348,60.348705,-0.191235,0.130182,0.0
0.76,0.14967,1.908294,0.48231,0.527285,0.371517,-1.338507,-0.080847,-1.973682,0.222552,0.320169,0.248238,1.869439,2.68942,84.489199,-1.131448,-0.923902,0.054444,1.335314,1.921014,60.349428,-0.192101,0.133531,0.0
0.78,0.153481,1.903443,0.483349,0.511834,0.368828,-1.350353,-0.084792,-1.971032,0.228113,0.321602,0.248355,1.91615,2.701456,84.490178,-1.133279,-0.916843,0.055016,1.368678,1.929612,60.350127,-0.192961,0.136868,0.0
0.8,0.157283,1.898471,0.484358,0.496351,0.366116,-1.362112,-0.088731,-1.968255,0.233651,0.323023,0.248467,1.962668,2.713395,84.491124,-1.135095,-0.909812,0.055586,1.401906,1.938139,60.350803,-0.193814,0.140191,0.0
0.82,0.161075,1.893377,0.485335,0.480836,0.36338,-1.373784,-0.092665,-1.965353,0.239166,0.324433,0.248576,2.008991,2.725236,84.492036,-1.136896,-0.90281,0.056152,1.434994,1.946597,60.351454,-0.19466,0.143499,0.0
0.84,0.164857,1.888162,0.486281,0.46529,0.360621,-1.385368,-0.096593,-1.962325,0.244656,0.325831,0.24868,2.055113,2.73698,84.492914,-1.138682,-0.895839,0.056715,1.467938,1.954985,60.352082,-0.195499,0.146794,0.0
0.86,0.168628,1.882826,0.487196,0.449714,0.357838,-1.396863,-0.100514,-1.959171,0.250122,0.327217,0.248781,2.101029,2.748624,84.49376,-1.140452,-0.888898,0.057275,1.500735,1.963303,60.352685,-0.19633,0.150073,0.0
0.88,0.172388,1.87737,0.48808,0.43411,0.355033,-1.408269,-0.104429,-1.955892,0.255564,0.328592,0.248878,2.146735,2.76017,84.494571,-1.142208,-0.881988,0.057832,1.533382,1.97155,60.353265,-0.197155,0.153338,0.0
0.9,0.176137,1.871794,0.488932,0.418477,0.352205,-1.419585,-0.108338,-1.952488,0.260979,0.329954,0.24897,2.192226,2.771616,84.49535,-1.143948,-0.875111,0.058385,1.565876,1.979726,60.353821,-0.197973,0.156588,0.0
0.92,0.179875,1.866097,0.489754,0.402818,0.349355,-1.43081,-0.112239,-1.948958,0.266369,0.331305,0.249059,2.237498,2.782962,84.496095,-1.145672,-0.868266,0.058935,1.598213,1.98783,60.354353,-0.198783,0.159821,0.0
0.94,0.183601,1.860282,0.490544,0.387133,0.346482,-1.441944,-0.116133,-1.945304,0.271732,0.332644,0.249144,2.282547,2.794209,84.496806,-1.147381,-0.861454,0.059482,1.630391,1.995863,60.354862,-0.199586,0.163039,0.0
0.96,0.187316,1.854347,0.491302,0.371424,0.343587,-1.452985,-0.12002,-1.941526,0.277068,0.333971,0.249224,2.327367,2.805354,84.497484,-1.149075,-0.854677,0.060025,1.662405,2.003825,60.355346,-0.200382,0.166241,0.0
0.98,0.191019,1.848294,0.492029,0.35569,0.34067,-1.463933,-0.123899,-1.937623,0.282376,0.335286,0.249301,2.371954,2.816399,84.498129,-1.150753,-0.847934,0.060565,1.694253,2.011714,60.355806,-0.201171,0.169425,0.0
1.0,0.194709,1.842122,0.492725,0.339934,0.337732,-1.474787,-0.127771,-1.933596,0.287655,0.336588,0.249374,2.416305,2.827343,84.498739,-1.152415,-0.841227,0.061102,1.725932,2.01953,60.356242,-0.201953,0.172593,0.0
1.02,0.198387,1.835832,0.493389,0.324156,0.334771,-1.485548,-0.131634,-1.929446,0.292906,0.337879,0.249442,2.460413,2.838184,84.499317,-1.154062,-0.834556,0.061635,1.757438,2.027274,60.356655,-0.202727,0.175744,0.0
1.04,0.202052,1.829425,0.494021,0.308358,0.331789,-1.496213,-0.135488,-1.925172,0.298128,0.339158,0.249507,2.504276,2.848923,84.499861,-1.155693,-0.827922,0.062164,1.788768,2.034945,60.357043,-0.203495,0.178877,0.0
1.06,0.205705,1.822901,0.494622,0.292539,0.328786,-1.506782,-0.139334,-1.920775,0.30332,0.340424,0.249568,2.547888,2.85956,84.500371,-1.157308,-0.821325,0.06269,1.81992,2.042543,60.357408,-0.204254,0.181992,0.0
1.08,0.209344,1.81626,0.495192,0.276702,0.325762,-1.517255,-0.143171,-1.916255,0.308482,0.341678,0.249625,2.591245,2.870094,84.500848,-1.158907,-0.814766,0.063212,1.85089,2.050067,60.357749,-0.205007,0.185089,0.0
1.1,0.21297,1.809503,0.495729,0.260847,0.322717,-1.52763,-0.146999,-1.911612,0.313612,0.34292,0.249678,2.634344,2.880525,84.501291,-1.160491,-0.808246,0.06373,1.881674,2.057518,60.358065,-0.205752,0.188167,0.0
1.12,0.216582,1.80263,0.496235,0.244976,0.319652,-1.537908,-0.150818,-1.906847,0.318712,0.344149,0.249726,2.677178,2.890851,84.501701,-1.162058,-0.801766,0.064245,1.91227,2.064894,60.358358,-0.206489,0.191227,0.0
1.14,0.22018,1.795642,0.496709,0.229089,0.316566,-1.548088,-0.154626,-1.90196,0.323779,0.345366,0.249771,2.719746,2.901074,84.502077,-1.163609,-0.795325,0.064756,1.942675,2.072196,60.358627,-0.20722,0.194268,0.0
1.16,0.223764,1.788539,0.497151,0.213187,0.31346,-1.558168,-0.158425,-1.896951,0.328814,0.346571,0.249812,2.762041,2.911193,84.50242,-1.165144,-0.788926,0.065263,1.972886,2.079423,60.358871,-0.207942,0.197289,0.0
1.18,0.227334,1.781321,0.497562,0.197271,0.310333,-1.568149,-0.162214,-1.891821,0.333817,0.347763,0.249849,2.80406,2.921206,84.502729,-1.166663,-0.782567,0.065766,2.0029,2.086576,60.359092,-0.208658,0.20029,0.0
1.2,0.23089,1.77399,0.49794,0.181343,0.307187,-1.578029,-0.165993,-1.886569,0.338785,0.348942,0.249881,2.845798,2.931114,84.503004,-1.168166,-0.776251,0.066266,2.032713,2.093653,60.359289,-0.209365,0.203271,0.0
1.22,0.23443,1.766545,0.498287,0.165404,0.304021,-1.587809,-0.16976,-1.881197,0.34372,0.350109,0.24991,2.887252,2.940917,84.503246,-1.169652,-0.769977,0.066761,2.062323,2.100655,60.359461,-0.210066,0.206232,0.0
1.24,0.237956,1.758986,0.498602,0.149453,0.300836,-1.597487,-0.173517,-1.875705,0.348621,0.351264,0.249935,2.928417,2.950614,84.503454,-1.171123,-0.763746,0.067252,2.091727,2.107582,60.35961,-0.210758,0.209173,0.0
1.26,0.241466,1.751316,0.498885,0.133493,0.297631,-1.607062,-0.177263,-1.870092,0.353487,0.352405,0.249956,2.96929,2.960205,84.503629,-1.172576,-0.757559,0.06774,2.120921,2.114432,60.359735,-0.211443,0.212092,0.0
1.28,0.244961,1.743533,0.499136,0.117525,0.294408,-1.616535,-0.180998,-1.86436,0.358317,0.353534,0.249973,3.009865,2.969689,84.50377,-1.174014,-0.751417,0.068223,2.149904,2.121207,60.359836,-0.212121,0.21499,0.0
1.3,0.24844,1.735638,0.499355,0.101549,0.291165,-1.625904,-0.18472,-1.858508,0.363112,0.354651,0.249985,3.050139,2.979066,84.503878,-1.175435,-0.74532,0.068702,2.178671,2.127905,60.359913,-0.21279,0.217867,0.0
1.32,0.251903,1.727633,0.499542,0.085567,0.287904,-1.635169,-0.188432,-1.852538,0.36787,0.355754,0.249994,3.090109,2.988336,84.503952,-1.176839,-0.739269,0.069177,2.207221,2.134526,60.359965,-0.213453,0.220722,0.0
1.34,0.255351,1.719517,0.499697,0.069579,0.284625,-1.64433,-0.192131,-1.846449,0.372592,0.356845,0.249999,3.129769,2.997499,84.503992,-1.178227,-0.733263,0.069648,2.23555,2.141071,60.359994,-0.214107,0.223555,0.0
1.36,0.258781,1.711291,0.49982,0.053586,0.281327,-1.653385,-0.195817,-1.840242,0.377276,0.357923,0.25,3.169117,3.006553,84.503998,-1.179598,-0.727305,0.070115,2.263655,2.147538,60.359999,-0.214754,0.226365,0.0
1.38,0.262196,1.702955,0.499912,0.03759,0.278011,-1.662334,-0.199491,-1.833917,0.381922,0.358988,0.249997,3.208147,3.0155,84.503972,-1.180953,-0.721394,0.070577,2.291534,2.153928,60.35998,-0.215393,0.229153,0.0
1.4,0.265593,1.69451,0.499971,0.021592,0.274678,-1.671178,-0.203153,-1.827474,0.386531,0.36004,0.249989,3.246857,3.024337,84.503911,-1.18229,-0.715532,0.071035,2.319184,2.160241,60.359936,-0.216024,0.231918,0.0
1.42,0.268974,1.685957,0.499998,0.005593,0.271327,-1.679914,-0.206801,-1.820915,0.3911,0.361079,0.249978,3.285242,3.033066,84.503817,-1.183611,-0.709718,0.071489,2.346602,2.166476,60.359869,-0.216648,0.23466,0.0
1.44,0.272337,1.677296,0.499993,-0.010407,0.267958,-1.688542,-0.210436,-1.814239,0.395631,0.362105,0.249963,3.323299,3.041686,84.503689,-1.184916,-0.703953,0.071938,2.373785,2.172633,60.359778,-0.217263,0.237378,0.0
1.46,0.275683,1.668528,0.499956,-0.026407,0.264573,-1.697063,-0.214058,-1.807447,0.400122,0.363119,0.249944,3.361023,3.050196,84.503528,-1.186203,-0.698238,0.072383,2.400731,2.178712,60.359663,-0.217871,0.240073,0.0
1.48,0.279011,1.659653,0.499888,-0.042404,0.26117,-1.705475,-0.217666,-1.80054,0.404573,0.364119,0.249921,3.398411,3.058597,84.503333,-1.187473,-0.692574,0.072823,2.427436,2.184712,60.359524,-0.218471,0.242744,0.0
1.5,0.282321,1.650671,0.499787,-0.058399,0.257751,-1.713778,-0.22126,-1.793517,0.408983,0.365106,0.249893,3.435459,3.066887,84.503105,-1.188727,-0.686961,0.073259,2.4539,2.190633,60.35936,-0.219063,0.24539,0.0
1.52,0.285614,1.641584,0.499654,-0.07439,0.254315,-1.721971,-0.22484,-1.786379,0.413353,0.366079,0.249862,3.472164,3.075067,84.502842,-1.189963,-0.681399,0.073691,2.480117,2.196476,60.359173,-0.219648,0.248012,0.0
1.54,0.288888,1.632392,0.499489,-0.090377,0.250863,-1.730053,-0.228406,-1.779127,0.417681,0.36704,0.249827,3.508522,3.083136,84.502547,-1.191182,-0.675889,0.074118,2.506087,2.20224,60.358962,-0.220224,0.250609,0.0
1.56,0.292143,1.623096,0.499293,-0.106357,0.247395,-1.738026,-0.231957,-1.771761,0.421968,0.367987,0.249788,3.544528,3.091094,84.502218,-1.192385,-0.670432,0.07454,2.531806,2.207924,60.358727,-0.220792,0.253181,0.0
1.58,0.29538,1.613695,0.499064,-0.122331,0.243911,-1.745887,-0.235493,-1.764282,0.426212,0.368922,0.249745,3.58018,3.098941,84.501855,-1.19357,-0.665028,0.074958,2.557272,2.213529,60.358468,-0.221353,0.255727,0.0
1.6,0.298598,1.604192,0.498803,-0.138297,0.240411,-1.753636,-0.239014,-1.75669,0.430414,0.369842,0.249697,3.615475,3.106676,84.501458,-1.194738,-0.659678,0.075371,2.582482,2.219054,60.358185,-0.221905,0.258248,0.0
1.62,0.301797,1.594585,0.498511,-0.154254,0.236896,-1.761273,-0.242519,-1.748985,0.434572,0.37075,0.249646,3.650407,3.1143,84.501029,-1.195888,-0.654382,0.075779,2.607434,2.2245,60.357878,-0.22245,0.260743,0.0
1.64,0.304976,1.584877,0.498186,-0.170201,0.233366,-1.768797,-0.246009,-1.741169,0.438687,0.371644,0.249591,3.684975,3.121811,84.500565,-1.197022,-0.64914,0.076183,2.632125,2.229865,60.357546,-0.222987,0.263212,0.0
1.66,0.308136,1.575067,0.49783,-0.186138,0.229821,-1.776208,-0.249484,-1.733241,0.442759,0.372525,0.249532,3.719174,3.12921,84.500068,-1.198138,-0.643955,0.076582,2.656553,2.23515,60.357191,-0.223515,0.265655,0.0
1.68,0.311276,1.565156,0.497442,-0.202062,0.226262,-1.783505,-0.252942,-1.725202,0.446786,0.373392,0.249469,3.753001,3.136496,84.499537,-1.199237,-0.638825,0.076976,2.680715,2.240355,60.356812,-0.224035,0.268072,0.0
1.7,0.314397,1.555145,0.497022,-0.217974,0.222687,-1.790689,-0.256385,-1.717053,0.450768,0.374246,0.249402,3.786453,3.14367,84.498973,-1.200318,-0.633751,0.077365,2.704609,2.245478,60.35641,-0.224548,0.270461,0.0
1.72,0.317497,1.545035,0.49657,-0.233871,0.219099,-1.797757,-0.259811,-1.708794,0.454706,0.375087,0.24933,3.819527,3.15073,84.498376,-1.201382,-0.628734,0.077749,2.728233,2.250521,60.355983,-0.225052,0.272823,0.0
1.74,0.320577,1.534826,0.496086,-0.249754,0.215496,-1.804711,-0.26322,-1.700425,0.458597,0.375914,0.249255,3.852218,3.157677,84.497745,-1.202429,-0.623775,0.078129,2.751584,2.255483,60.355532,-0.225548,0.275158,0.0
1.76,0.323636,1.524518,0.495571,-0.26562,0.21188,-1.811549,-0.266612,-1.691948,0.462443,0.376727,0.249176,3.884524,3.16451,84.49708,-1.203458,-0.618873,0.078503,2.77466,2.260364,60.355057,-0.226036,0.277466,0.0
1.78,0.326675,1.514113,0.495024,-0.28147,0.20825,-1.818271,-0.269987,-1.683362,0.466243,0.377527,0.249093,3.916442,3.171229,84.496382,-1.204469,-0.61403,0.078873,2.797458,2.265164,60.354559,-0.226516,0.279746,0.0
1.8,0.329692,1.503611,0.494445,-0.297301,0.204607,-1.824877,-0.273346,-1.674669,0.469996,0.378314,0.249006,3.947968,3.177834,84.49565,-1.205463,-0.609246,0.079237,2.819977,2.269882,60.354036,-0.226988,0.281998,0.0
1.82,0.332689,1.493013,0.493834,-0.313114,0.200951,-1.831366,-0.276686,-1.665868,0.473702,0.379086,0.248915,3.979099,3.184325,84.494885,-1.20644,-0.604521,0.079597,2.842213,2.274518,60.35349,-0.227452,0.284221,0.0
1.84,0.335664,1.48232,0.493192,-0.328906,0.197282,-1.837737,-0.280009,-1.656961,0.477361,0.379845,0.24882,4.009832,3.190701,84.494087,-1.207398,-0.599855,0.079951,2.864166,2.279072,60.352919,-0.227907,0.286417,0.0
1.86,0.338618,1.471531,0.492519,-0.344678,0.1936,-1.843992,-0.283314,-1.647948,0.480972,0.380591,0.248721,4.040165,3.196962,84.493255,-1.208339,-0.59525,0.080301,2.885832,2.283544,60.352325,-0.228354,0.288583,0.0
1.88,0.34155,1.460648,0.491814,-0.360427,0.189906,-1.850128,-0.286601,-1.638829,0.484535,0.381322,0.248618,4.070093,3.203108,84.49239,-1.209263,-0.590706,0.080645,2.907209,2.287934,60.351707,-0.228793,0.290721,0.0
1.9,0.344461,1.449672,0.491077,-0.376154,0.1862,-1.856145,-0.289869,-1.629606,0.488049,0.38204,0.248511,4.099614,3.209139,84.491491,-1.210168,-0.586223,0.080984,2.928296,2.292242,60.351065,-0.229224,0.29283,0.0
1.92,0.347349,1.438603,0.490309,-0.391856,0.182481,-1.862044,-0.293119,-1.620278,0.491515,0.382745,0.2484,4.128726,3.215054,84.490559,-1.211056,-0.581801,0.081318,2.94909,2.296467,60.350399,-0.229647,0.294909,0.0
1.94,0.350215,1.427442,0.48951,-0.407533,0.178751,-1.867824,-0.29635,-1.610846,0.494931,0.383435,0.248285,4.157424,3.220854,84.489593,-1.211926,-0.577441,0.081647,2.969589,2.30061,60.349709,-0.230061,0.296959,0.0
1.96,0.353059,1.416189,0.488679,-0.423184,0.17501,-1.873484,-0.299562,-1.601312,0.498298,0.384112,0.248166,4.185707,3.226537,84.488594,-1.212778,-0.573144,0.081971,2.989791,2.304669,60.348996,-0.230467,0.298979,0.0
1.98,0.35588,1.404846,0.487817,-0.438808,0.171258,-1.879025,-0.302755,-1.591674,0.501616,0.384774,0.248043,4.213571,3.232104,84.487562,-1.213612,-0.56891,0.082289,3.009694,2.308646,60.348258,-0.230865,0.300969,0.0
2.0,0.358678,1.393413,0.486924,-0.454404,0.167494,-1.884445,-0.305929,-1.581935,0.504883,0.385423,0.247916,4.241014,3.237556,84.486496,-1.214428,-0.564739,0.082602,3.029296,2.31254,60.347497,-0.231254,0.30293,0.0
2.02,0.361453,1.381891,0.485999,-0.469971,0.16372,-1.889744,-0.309083,-1.572095,0.508099,0.386058,0.247785,4.268032,3.24289,84.485397,-1.215227,-0.560632,0.08291,3.048595,2.31635,60.346712,-0.231635,0.304859,0.0
2.04,0.364206,1.370281,0.485044,-0.485508,0.159935,-1.894923,-0.312217,-1.562154,0.511265,0.386679,0.247651,4.294624,3.248108,84.484265,-1.216007,-0.556589,0.083213,3.067589,2.320077,60.345903,-0.232008,0.306759,0.0
2.06,0.366934,1.358582,0.484057,-0.501014,0.15614,-1.89998,-0.315332,-1.552113,0.514379,0.387287,0.247512,4.320787,3.253208,84.483099,-1.21677,-0.552611,0.08351,3.086276,2.32372,60.345071,-0.232372,0.308628,0.0
2.08,0.36964,1.346797,0.48304,-0.516487,0.152335,-1.904916,-0.318426,-1.541973,0.517443,0.38788,0.247369,4.346517,3.258192,84.481901,-1.217514,-0.548697,0.083801,3.104655,2.32728,60.344215,-0.232728,0.310466,0.0
2.1,0.372322,1.334926,0.481991,-0.531928,0.148521,-1.909729,-0.321499,-1.531734,0.520454,0.388459,0.247222,4.371813,3.263059,84.480669,-1.21824,-0.544849,0.084088,3.122724,2.330756,60.343335,-0.233076,0.312272,0.0
2.12,0.374979,1.322969,0.480912,-0.547334,0.144697,-1.914421,-0.324553,-1.521398,0.523413,0.389025,0.247072,4.396672,3.267807,84.479403,-1.218949,-0.541067,0.084369,3.14048,2.334148,60.342431,-0.233415,0.314048,0.0
2.14,0.377613,1.310927,0.479802,-0.562706,0.140863,-1.91899,-0.327585,-1.510963,0.52632,0.389576,0.246917,4.421091,3.272439,84.478105,-1.219639,-0.537351,0.084644,3.157922,2.337456,60.341503,-0.233746,0.315792,0.0
2.16,0.380223,1.298802,0.478661,-0.578041,0.137021,-1.923436,-0.330596,-1.500432,0.529175,0.390113,0.246759,4.445067,3.276952,84.476773,-1.220311,-0.533701,0.084914,3.175048,2.34068,60.340552,-0.234068,0.317505,0.0
2.18,0.382809,1.286593,0.47749,-0.59334,0.133169,-1.927759,-0.333587,-1.489805,0.531976,0.390637,0.246596,4.4686,3.281348,84.475408,-1.220965,-0.530118,0.085179,3.191857,2.34382,60.339577,-0.234382,0.319186,0.0
2.2,0.385369,1.274302,0.476288,-0.6086,0.12931,-1.931959,-0.336555,-1.479083,0.534724,0.391146,0.24643,4.491685,3.285625,84.47401,-1.2216,-0.526602,0.085438,3.208346,2.346875,60.338579,-0.234688,0.320835,0.0
